id,name,parent_id
1,レディース,Null
2,トップス,1
3,ジャケット/アウター,1
4,パンツ,1
5,スカート,1
6,ワンピース,1
7,靴,1
8,ルームウェア/パジャマ,1
9,レッグウェア,1
10,帽子,1
11,バッグ,1
12,アクセサリー,1
13,ヘアアクセサリー,1
14,小物,1
15,時計,1
16,Tシャツ/カットソー（半袖/袖なし）,2
17,Tシャツ/カットソー（七分/長袖）,2
18,シャツ/ブラウス（半袖/袖なし）,2
19,シャツ/ブラウス（七分/長袖）,2
20,ポロシャツ,2
21,キャミソール,2
22,タンクトップ,2
23,ホルターネック,2
24,ニット/セーター,2
25,チュニック,2
26,カーディガン/ボレロ,2
27,アンサンブル,2
28,ベスト/ジレ,2
29,パーカー,2
30,テーラードジャケット,3
31,ノーカラージャケット,3
32,Gジャン/デニムジャケット,3
33,レザージャケット,3
34,ダウンジャケット,3
35,ライダースジャケット,3
36,ミリタリージャケット,3
37,ダウンベスト,3
38,ジャンパー/ブルゾン,3
39,ポンチョ,3
40,ロングコート,3
41,トレンチコート,3
42,ダッフルコート,3
43,ピーコート,3
44,デニム/ジーンズ,4
45,ショートパンツ,4
46,カジュアルパンツ,4
47,ハーフパンツ,4
48,チノパン,4
49,ワークパンツ/カーゴパンツ,4
50,クロップドパンツ,4
51,サロペット/オーバーオール,4
52,オールインワン,4
53,カエサルパンツ,4
54,ガウチョパンツ,4
55,その他,4
56,ミニスカート,5
57,ひざ丈スカート,5
58,ロングスカート,5
59,キュロット,5
60,その他,5
61,ミニワンピース,6
62,ひざ丈ワンピース,6
63,ロングワンピース,6
64,その他,6
65,ハイヒール/パンプス,7
66,ブーツ,7
67,サンダル,7
68,スニーカー,7
69,ミュール,7
70,モカシン,7
71,ローファー/革靴,7
72,フラットシューズ/バレエシューズ,7
73,長靴/レインシューズ,7
74,その他,7
75,パジャマ,8
76,ルームウェア,8
77,ソックス,9
78,スパッツ/レギンス,9
79,ストッキング/タイツ,9
80,レッグウォーマー,9
81,その他,9
82,ニットキャップ/ビーニー,10
83,ハット,10
84,ハンチング/ベレー帽,10
85,キャップ,10
86,キャスケット,10
87,麦わら帽子,10
88,その他,10
89,ハンドバッグ,11
90,トートバッグ,11
91,エコバッグ,11
92,リュック/バックパック,11
93,ボストンバッグ,11
94,スポーツバッグ,11
95,ショルダーバッグ,11
96,クラッチバッグ,11
97,ポーチ/バニティ,11
98,ボディバッグ/ウェストバッグ,11
99,マザーズバッグ,11
100,メッセンジャーバッグ,11
101,ビジネスバッグ,11
102,旅行用バッグ/キャリーバッグ,11
103,ネックレス,12
104,ブレスレット,12
105,バングル/リストバンド,12
106,リング,12
107,ピアス（片耳用）,12
108,ピアス（両耳用）,12
109,イヤリング,12
110,アンクレット,12
111,ブローチ/コサージュ,12
112,チャーム,12
113,その他,12
114,ヘアゴム/シュシュ,13
115,ヘアバンド/カチューシャ,13
116,ヘアピン,13
117,その他,13
118,長財布,14
119,折り財布,14
120,コインケース/小銭入れ,14
121,名刺入れ/定期入れ,14
122,キーケース,14
123,キーホルダー,14
124,手袋/アームカバー,14
125,ハンカチ,14
126,ベルト,14
127,マフラー/ショール,14
128,ストール/スヌード,14
129,バンダナ/スカーフ,14
130,ネックウォーマー,14
131,サスペンダー,14
132,腕時計（アナログ）,15
133,腕時計（デジタル）,15
134,ラバーベルト,15
135,レザーベルト,15
136,金属ベルト,15
137,その他,15
138,メンズ,Null
139,トップス,138
140,ジャケット/アウター,138
141,パンツ,138
142,靴,138
143,バッグ,138
144,スーツ,138
145,帽子,138
146,アクセサリー,138
147,小物,138
148,時計,138
149,水着,138
150,レッグウェア,138
151,アンダーウェア,138
152,その他,138
153,Tシャツ/カットソー（半袖/袖なし）,139
154,Tシャツ/カットソー（七分/長袖）,139
155,シャツ,139
156,ポロシャツ,139
157,タンクトップ,139
158,ニット/セーター,139
159,パーカー,139
160,カーディガン,139
161,スウェット,139
162,ジャージ,139
163,ベスト,139
164,その他,139
165,テーラードジャケット,140
166,ノーカラージャケット,140
167,Gジャン/デニムジャケット,140
168,レザージャケット,140
169,ダウンジャケット,140
170,ライダースジャケット,140
171,ミリタリージャケット,140
172,ナイロンコート,140
173,フライトコート,140
174,ダッフルコート,140
175,ピーコート,140
176,ステンカラーコート,140
177,トレンチコート,140
178,モッズコート,140
179,デニム/ジーンズ,141
180,ワークパンツ/カーゴパンツ,141
181,スラックス,141
182,チノパン,141
183,ショートパンツ,141
184,ペインターパンツ,141
185,サルエルパンツ,141
186,オーバーホール,141
187,その他,141
188,スニーカー,142
189,サンダル,142
190,ブーツ,142
191,モカシン,142
192,ドレス/ビジネス,142
193,長靴/レインシューズ,142
194,デッキシューズ,142
195,その他,142
196,ショルダーバッグ,143
197,トートバッグ,143
198,ボストンバッグ,143
199,リュック/バックパック,143
200,ウエストポーチ,143
201,ボディバッグ,143
202,ドラムバッグ,143
203,ビジネスバッグ,143
204,トラベルバッグ,143
205,メッセンジャーバッグ,143
206,エコバッグ,143
207,その他,143
208,スーツジャケット,144
209,スーツベスト,144
210,スラックス,144
211,セットアップ,144
212,その他,144
213,キャップ,145
214,ハット,145
215,ニットキャップ/ビーニー,145
216,ハンチング/ベレー帽,145
217,キャスケット,145
218,サンバイザー,145
219,その他,145
220,ネックレス,146
221,ブレスレット,146
222,バングル/リストバンド,146
223,リング,146
224,ピアス（片耳用）,146
225,ピアス（両耳用）,146
226,アンクレット,146
227,その他,146
228,長財布,147
229,折り財布,147
230,マネークリップ,147
231,コインケース/小銭入れ,147
232,名刺入れ/定期入れ,147
233,キーケース,147
234,キーホルダー,147
235,ネクタイ,147
236,手袋,147
237,ハンカチ,147
238,ベルト,147
239,マフラー,147
240,ストール,147
241,バンダナ,147
242,腕時計（アナログ）,148
243,腕時計（デジタル）,148
244,ラバーベルト,148
245,レザーベルト,148
246,金属ベルト,148
247,その他,148
248,一般水着,149
249,スポーツ用,149
250,アクセサリー,149
251,その他,149
252,レギンス/スパッツ,150
253,レッグウォーマー,150
254,その他,150
255,レッグウォーマー,150
256,トランクス,151
257,ボクサーパンツ,151
258,その他,151
259,ベビー・キッズ,Null
260,ベビー服（女の子用）〜95cm,259
261,ベビー服（男の子用）〜95cm,259
262,ベビー服（男女兼用）〜95cm,259
263,キッズ服（女の子用）100cm〜,259
264,キッズ服（男の子用）100cm〜,259
265,キッズ服（男女兼用）100cm〜,259
266,キッズ靴,259
267,子ども用ファッション小物,259
268,おむつ/トイレ/バス,259
269,外出/移動用品,259
270,授乳/食事,259
271,ベビー家具/寝具/室内用品,259
272,おもちゃ,259
273,行事/記念品,259
274,トップス,260
275,アウター,260
276,パンツ,260
277,スカート,260
278,ワンピース,260
279,ベビードレス,260
280,おくるみ,260
281,下着/肌着,260
282,パジャマ,260
283,ロンパース,260
284,その他,260
285,トップス,261
286,アウター,261
287,パンツ,261
288,おくるみ,261
289,下着/肌着,261
290,パジャマ,261
291,ロンパース,261
292,その他,261
293,トップス,262
294,アウター,262
295,パンツ,262
296,おくるみ,262
297,下着/肌着,262
298,パジャマ,262
299,ロンパース,262
300,その他,262
301,コート,263
302,ジャケット/上着,263
303,トップス（Tシャツ/カットソー）,263
304,トップス（トレーナー）,263
305,トップス（チュニック）,263
306,トップス（タンクトップ）,263
307,トップス（その他）,263
308,スカート,263
309,パンツ,263
310,ワンピース,263
311,セットアップ,263
312,パジャマ,263
313,フォーマル/ドレス,263
314,和服,263
315,コート,264
316,ジャケット/上着,264
317,トップス（Tシャツ/カットソー）,264
318,トップス（トレーナー）,264
319,トップス（その他）,264
320,パンツ,264
321,セットアップ,264
322,パジャマ,264
323,フォーマル/ドレス,264
324,和服,264
325,浴衣,264
326,甚平,264
327,水着,264
328,その他,264
329,コート,265
330,ジャケット/上着,265
331,トップス（Tシャツ/カットソー）,265
332,トップス（トレーナー）,265
333,トップス（その他）,265
334,ボトムス,265
335,パジャマ,265
336,その他,265
337,スニーカ,266
338,サンダル,266
339,ブーツ,266
340,長靴,266
341,その他,266
342,靴下/スパッツ,267
343,帽子,267
344,エプロン,267
345,サスペンダー,267
346,タイツ,267
347,ハンカチ,267
348,バンダナ,267
349,ベルト,267
350,マフラー,267
351,傘,267
352,手袋,267
353,スタイ,267
354,バッグ,267
355,その他,267
356,おむつ用品,268
357,おまる/補助便座,268
358,トレーニングパンツ,268
359,ベビーバス,268
360,お風呂用品,268
361,その他,268
362,ベビーカー,269
363,抱っこひも/スリング,269
364,チャイルドシート,269
365,その他,269
366,ミルク,270
367,ベビーフード,270
368,ベビー用品,270
369,その他,270
370,ベッド,271
371,布団/毛布,271
372,イス,271
373,たんす,271
374,その他,271
375,おふろのおもちゃ,272
376,がらがら,272
377,オルゴール,272
378,ベビージム,272
379,手押し車/カタカタ,272
380,知育玩具,272
381,その他,272
382,お宮参り用品,273
383,お食い初め用品,273
384,アルバム,273
385,手形/足型,273
386,その他,273
387,インテリア・住まい・小物,Null
388,キッチン/食器,387
389,ベッド/マットレス,387
390,ソファ/ソファベッド,387
391,椅子/チェア,387
392,机/テーブル,387
393,収納家具,387
394,ラグ/カーペット/マット,387
395,カーテン/ブラインド,387
396,ライト/照明,387
397,寝具,387
398,インテリア小物,387
399,季節/年中行事,387
400,その他,387
401,食器,388
402,調理器具,388
403,収納/キッチン雑貨,388
404,弁当用品,388
405,カトラリー（スピーん等）,388
406,テーブル用品,388
407,容器,388
408,エプロン,388
409,アルコールグッズ,388
410,浄水器,388
411,その他,388
412,セミシングルベッド,389
413,シングルベッド,389
414,セミダブルベッド,389
415,ダブルベッド,389
416,ワイドダブルベッド,389
417,クイーンベッド,389
418,キングベッド,389
419,脚付マットレベッド,389
420,マットレス,389
421,すのこベッド,389
422,ロフトベッド/システムベッド,389
423,簡易ベッド/折りたたみベッド,389
424,収納付き,389
425,その他,389
426,ソファセット,390
427,シングルソファ,390
428,ラブソファ,390
429,トリプルソファ,390
430,ホットマン,390
431,コーナーソファ,390
432,ビーズソファ/クッションソファ,390
433,ローソファ/フロアソファ,390
434,ソファベッド,390
435,応接セット,390
436,ソファカバー,390
437,リクライニングソファ,390
438,その他,390
439,一般,391
440,スツール,391
441,ダイニングチェア,391
442,ハイバッグチェア,391
443,ロッキンチェア,391
444,座椅子,391
445,折りたたみイス,391
446,デスクチェア,391
447,その他,391
448,こたつ,392
449,カウンターテーブル,392
450,サイドテーブル,392
451,センターテーブル,392
452,ダイニングテーブル,392
453,座卓/ちゃぶ台,392
454,アウトドア用品,392
455,パソコン用品,392
456,事務机/学習机,392
457,その他,392
458,リビング収納,393
459,キッチン収納,393
460,玄関/屋外収納,393
461,バス/トイレ収納,393
462,本収納,393
463,本/CD/DVD収納,393
464,洋服タンス/押し入れ収納,393
465,電話台/ファックス台,393
466,ドレッサー/鏡台,393
467,棚/ラック,393
468,ケース/ボックス,393
469,その他,393
470,ラグ,394
471,カーペット,394
472,ホットカーペット,394
473,玄関/キッチンマット,394
474,トイレ/バスマット,394
475,その他,394
476,カーテン,395
477,ブラインド,395
478,ロールスクリーン,395
479,のれん,395
480,その他,395
481,電光灯/電球,396
482,天井照明,396
483,フロアスタンド,396
484,その他,396
485,布団/毛布,397
486,枕,397
487,シーツ/カバー,397
488,その他,397
489,ゴミ箱,398
490,ウェルカムボード,398
491,オルゴール,398
492,クッション,398
493,クッションカバー,398
494,スリッパラック,398
495,ティッシュボックス,398
496,バスケット/かご,398
497,フォトフレーム,398
498,マガジンラック,398
499,モビール,398
500,花瓶,398
501,灰皿,398
502,傘立て,398
503,正月,399
504,成人式,399
505,バレンタインデー,399
506,ひな祭り,399
507,子どもの日,399
508,母の日,399
509,父の日,399
510,サマーギフト/お中元,399
511,夏/夏休み,399
512,ハロウィン,399
513,敬老の日,399
514,七五三,399
515,お歳暮,399
516,クリスマス,399
517,本・音楽・ゲーム,Null
518,本,517
519,漫画,517
520,雑誌,517
521,CD,517
522,DVD/ブルーレイ,517
523,レコード,517
524,テレビゲーム,517
525,文学/小説,518
526,人文/社会,518
527,ノンフィクション/教養,518
528,地図/旅行ガイド,518
529,ビジネス/経済,518
530,健康/医学,518
531,コンピューター/IT,518
532,趣味/スポーツ/実用,518
533,住まい/暮らし/子育て,518
534,アート/エンタメ,518
535,洋書,518
536,絵本,518
537,参考書,518
538,その他,518
539,全巻セット,519
540,少年漫画,519
541,少女漫画,519
542,青年漫画,519
543,女性漫画,519
544,同人誌,519
545,その他,519
546,アート/エンタメ/ホビー,520
547,ファッション,520
548,ニュース/総合,520
549,趣味/スポーツ,520
550,その他,520
551,邦楽,521
552,洋楽,521
553,アニメ,521
554,クラシック,521
555,K-pop/アジア,521
556,キッズ/ファミリー,521
557,その他,521
558,外国映画,522
559,日本映画,522
560,アニメ,522
561,TVドラマ,522
562,ミュージック,522
563,お笑い/バラエティ,522
564,スポーツ/フィットネス,522
565,キッズ/ホビー,522
566,その他,522
567,邦楽,523
568,洋楽,523
569,その他,523
570,家庭用ゲーム本体,524
571,家庭用ゲームソフト,524
572,携帯用ゲーム本体,524
573,携帯用ゲームソフト,524
574,PCゲーム,524
575,その他,524
576,おもちゃ・ホビー・グッズ,Null
577,おもちゃ,576
578,タレントグッズ,576
579,コミック/アニメグッズ,576
580,トレーディングカード,576
581,フィギュア,576
582,楽器/機材,576
583,コレクション,576
584,ミリタリー,576
585,美術品,576
586,アート用品,576
587,その他,576
588,キャラクターグッズ,577
589,ぬいぐるみ,577
590,小物/アクセサリー,577
591,模型/プラモデル,577
592,ミニカー,577
593,トイラジコン,577
594,プラモデル,577
595,ホビーラジコン,577
596,鉄道模型,577
597,その他,577
598,アイドル,578
599,ミュージシャン,578
600,タレント/お笑い芸人,578
601,スポーツ選手,578
602,その他,578
603,ストラップ,579
604,キーホルダー,579
605,バッジ,579
606,カード,579
607,クリアファイル,579
608,ポスター,579
609,タオル,579
610,その他,579
611,遊戯王,580
612,マジック：ザ・ギャザリング,580
613,ポケモンカードゲーム,580
614,デュエルマスターズ,580
615,バトルスピリッツ,580
616,プリパラ,580
617,アイカツ,580
618,カードファイト！！ヴァンガード,580
619,ヴァイシュヴァルツ,580
